LEAID,NAME,CITY,STATE,MEMBER_alt,revised,hasReassignedSchools,altRatio_99,altRatio,altRatio_growth,pupMONEY_reg,pupMONEY_alt,pdiff_pupMONEY,hasCounc_reg,hasCounc_alt,pdiff_hasCounc,puptch_reg,puptch_alt,pdiff_puptch,TEACH_FYSY_RATIO_reg,TEACH_FYSY_RATIO_alt,pdiff_TEACH_FYSY_RATIO,TEACH_ABSENT_RATIO_reg,TEACH_ABSENT_RATIO_alt,pdiff_TEACH_ABSENT_RATIO,gradRate_reg,gradRate_alt,ppdiff_gradRate
100390,BIRMINGHAM CITY,BIRMINGHAM,AL,20,FALSE,FALSE,0.00535734,0.00207857,-0.00327877,6775.98017,13716.9365,1.024347202,0.928571429,1,0.076923077,19.20691266,,,0.103709465,0,-1,0.068522325,0.4,4.837513514,79.65993976,,
101380,ETOWAH COUNTY,GADSDEN,AL,173,FALSE,FALSE,0,0.03603416,0.03603416,4439.308223,87250.54189,18.65408516,1,1,0,16.46715506,57.66666667,2.501920427,0.058719906,0,-1,0.407369348,0,-1,87.88285229,17,-70.88285229
101620,GADSDEN CITY,GADSDEN,AL,9,FALSE,FALSE,0.010976533,0.003270349,-0.007706184,5946.152752,,,1,,,16.97494035,,,0.159056729,,,0.51133971,,,73,,
102310,MARION COUNTY,HAMILTON,AL,4,FALSE,FALSE,0.002669718,0.002118644,-0.000551074,11196.17738,32284.4725,1.88352635,1,0,-1,16.4328345,2,-0.878292452,0.04021313,0,-1,0.150799236,0,-1,77,,
102370,MOBILE COUNTY,MOBILE,AL,205,FALSE,FALSE,0.005538556,0.006816066,0.00127751,4006.031078,29838.86811,6.448486426,1,1,0,19.51855774,2.266666667,-0.883871201,0.125812168,0.117647059,-0.064899199,0.180153574,0.235294118,0.306075217,83.27516113,,
102430,MONTGOMERY COUNTY,MONTGOMERY,AL,129,FALSE,FALSE,0.027366323,0.008263404,-0.019102919,3309.774037,12095.61364,2.65451342,0.894736842,0.5,-0.441176471,20.1245437,7.72832981,-0.615974905,0.120092379,0.272727273,1.270979021,0.38221709,0.045454545,-0.881076627,77.59753086,,
200001,LOWER KUSKOKWIM SCHOOL DISTRICT,BETHEL,AK,78,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,
200100,DELTA-GREELY SCHOOL DISTRICT,DELTA JUNCTION,AK,12,FALSE,FALSE,0.094155844,0.020547945,-0.073607899,29524.57864,6957.396875,-0.764352374,0.333333333,0,-1,33.07356538,12,-0.637172471,0.197183099,0,-1,0.14084507,1,6.1,,,
200150,KETCHIKAN GATEWAY BOROUGH SCHOOL DISTRICT,KETCHIKAN,AK,121,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,
200180,ANCHORAGE SCHOOL DISTRICT,ANCHORAGE,AK,565,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,
200210,JUNEAU BOROUGH SCHOOL DISTRICT,JUNEAU,AK,141,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,
200240,SITKA SCHOOL DISTRICT,SITKA,AK,25,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,
200390,KENAI PENINSULA BOROUGH SCHOOL DISTRICT,SOLDOTNA,AK,110,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,
200510,MATANUSKA-SUSITNA BOROUGH SCHOOL DISTRICT,PALMER,AK,433,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,
200600,FAIRBANKS NORTH STAR BOROUGH SCHOOL DISTRICT,FAIRBANKS,AK,129,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,
200610,NORTH SLOPE BOROUGH SCHOOL DISTRICT,BARROW,AK,44,FALSE,FALSE,0,0.033182504,0.033182504,15632.89053,14026.04348,-0.102786305,1,1,0,10.96099051,12.57142857,0.146924501,0.491935484,0.888888889,0.806921676,0.290322581,0.444444444,0.530864198,,,
400026,HEBER-OVERGAARD UNIFIED DISTRICT,HEBER,AZ,109,FALSE,FALSE,0.299019608,0.351612903,0.052593295,3199.465347,1177.074766,-0.632102668,0.5,0,-1,13.80506945,13.93861893,0.009673945,0.133333333,0,-1,0,0.142857143,,,,
401600,CAMP VERDE UNIFIED DISTRICT,CAMP VERDE,AZ,16,FALSE,TRUE,0,0.018454441,0.018454441,3812.678508,,,0.5,,,18.84677944,16,-0.151048589,0.139720559,,,0.319361277,,,92,,
401870,CHANDLER UNIFIED DISTRICT #80,CHANDLER,AZ,196,FALSE,TRUE,0,0.009422624,0.009422624,2831.396995,4678.797885,0.65246975,0.866666667,1,0.153846154,20.70981295,14.84848485,-0.283021779,0.063788481,0,-1,0.166571138,0.0625,-0.624784937,95.37852301,2.5,-92.87852301
403420,GLENDALE ELEMENTARY DISTRICT,GLENDALE,AZ,682,FALSE,TRUE,0.394658754,0.401885681,0.007226927,2011.676657,2469.864853,0.227764335,1,1,0,22.35682819,19.48571429,-0.128422238,0.280898876,0.114285714,-0.593142857,0.134831461,0.285714286,1.119047619,,,
403450,GLENDALE UNION HIGH SCHOOL DISTRICT,GLENDALE,AZ,76,FALSE,FALSE,0.006594373,0.005008567,-0.001585806,1214.798202,2226.242703,0.832602896,1,0,-1,22.21108413,4.871794872,-0.780659294,0.051966292,0,-1,0.178651685,0,-1,89.49184783,,
403860,MARICOPA COUNTY REGIONAL DISTRICT,PHOENIX,AZ,170,FALSE,FALSE,0.637609649,0.376106195,-0.261503454,6089.166152,4096.771944,-0.327203127,0,0,,13.55870764,13.31932773,-0.017655069,0.411764706,0,-1,0.705882353,0.333333333,-0.527777778,2.5,,
405670,OSBORN ELEMENTARY DISTRICT,PHOENIX,AZ,558,FALSE,TRUE,0.612730061,0.587987355,-0.024742706,7430.743862,2431.100238,-0.672832184,0,1,,,17.78202677,,0.381443299,0.332409972,-0.128546829,0,0.166204986,,,,
405930,PARADISE VALLEY UNIFIED DISTRICT,PHOENIX,AZ,7,FALSE,TRUE,0,0.000369744,0.000369744,3727.028942,39912.03909,9.708808466,0.68,0,-1,22.11315057,3.5,-0.841723142,0.100183974,0,-1,0.336873167,0,-1,84.1194487,,
405980,PARKER UNIFIED SCHOOL DISTRICT,PARKER,AZ,22,FALSE,FALSE,0,0.026506024,0.026506024,3520.773519,9714.285714,1.759133941,0.5,0,-1,17.62311469,,,0.123152709,0,-1,0.374384236,0,-1,82,,
